Keys,Definitions
pơkă,"to command, promise"
pơkăl,to do forcefully
pơkăp,to make dogs fight each other
pơkhuỡ,"to be proud, to show off"
pơklaih,"literally to make to be finished with; to heal, to forgive"
pơklăp,to force into one's mouth a handful of food; to curse
pơklep,"to stick to, glue on to"
"pơkoh, mơkoh",to describe woman who is always doing bad things
pơkong,to marry
pơkỡp,to light a fire
pơkrê,to frighten
pơkro,to dry fish or other items
pơkuăng,to dress to prepare
pơla,"different, peculiar"
pơlai,butterfly
pơlăp,to make to fit 
pơle ,small type of bamboo
pơleh,"to pick ferns, kernels of corn"
pơlei,village
pơleng-jong,competition to see who can win a girl or a fellow
pơlêng,"""If he can't I could never."""
pơliĕm,to apologize for doing wrong make things right
pơliĕng,to sort rice
pơliĕo,some type of small bird with red comb
pơloi,to try to tell a better story than someone else exaggerate
pơlong,to try test
pơlôch,to kill
pơlỡm,to fool betray
pơlui,to lie try to make believe falsehood
pơlung,to console encourage entice
pơ'lỡng,to do well 
pỡm,to do work (quite generic)
pơma,"to speak, talk "
pơn ,"to guess answer to a riddle, to draw lots"
pơnah,bamboo split into parts
pơnai,stick used in stirring food 
pơnam,ambitious
pơnan,a plant with long slender leaves used to make mats
pơnăr,wing
pơnăt,tail of arrow
"pơnil, khei pơnil",full moon
pơnơi,fins of fish
pơnung,wallowing hole
pơnung sik,to age wine
ponŭ,"bunch, classifier of gia"
ponŭnh,burrs
pơ'nă gia,"just, only"
pơngach,to cool food 
pơngă,"to be proud, fussy in what one wears"
pơngeng,intently
"pơngĕl, kơngiĕl",of boil to throb be painful
pơngêh,to cause someone to think mistakenly
pơngiĕl,to tease
pơngo,"to keep animal,  person from eating not give food to"
pơngok,"to give a person water to drink by holding gourd, cup just abpve mouth (but not touching)"
pơngot,to be hungry
pơngô,to keep on doing
pơngơk,to hold or push someone head up
pơ'ngeh,to swell
pơ'nguaih,to clean out
pơnhan,bowl
pơnhên,to find out for sure to look at closely
po'nhiĕng,to do something to make another give you his goods
pơ'nhok,to someone by asking for part of his catch before he goes hunting fishing
pơ'nhong,to show off dress up
pơ'nhŏ,to give to someone what you yourself
"po'nhŏk, sa",to eat any old thing when by oneself
pơo,a large tall type of bamboo
pơŏ,mango 
pơơh ,"to make sad, angry "
pơỡt ,"to not give food, to starve"
pơpan,of plants to spread (have runners)
pơplơh,to designate water flowing from pipe in large long stream
popôi,to make a pile of weeds
popông,"to bulge out, become bigger"
pơpơm,to make believe
pơpỡ,"to squirm, move back and forth"
pơpỡ-pơpĕnh,emphatic form pơpỡ
pơprăt,of a man's skin to be marked up by constantly being in wind
pơprŏl,to keep on doing
poprỡn,to do boldly to do even though afraid
pơpuh,to drive out
pơrang,germs
pơret,"to howl, yell"
pơrŏ,to make beautiful
pơrỡng,"to strive to do, to do of one's own accord"
pơru,to shoot at continually
pơsah,"to clean over and over as in cleaning out a gourd, to cook bamboo sprouts over and over again to take away bitter taste"
pơsel,lonesome
pơsôm,to lie
pơsrat,to make difficult for
pơsuh,to have a contest
pơsữ,to pass goods on to
pơtan,of a child to have a large stomach
pơtanh-pơtônh-mônh,"describes many round, full stomachs"
pơtao,"king, high ruler"
pơtă,device for making cotton 
pơtăl,to do in place of change off replace 
pơtăm,to plant 
pơtĕm,to paste on stamp on; to feed clothes into wringer 
pơtăng,a boil
"pơtih, pơtih gia","example, illustration"
pơting,to compare 
pơtŏ,to place by fire to warm
pơtŏk,to blister 
pơtŏl,ant hill (old and hard) 
pơtŏng,to make stomach bloated 
"pơtŏu, pơtâu",buttocks
pơtôm,completely
pơtôm pơtĕch,to dress up crazily to make people laugh 
pơtông,bloated stomach of large animals 
pơtông-pơtang,emphatic form of pơtông many animals with bloated stomachs
pơtơm,to ask to go with invite to go somewhere 
pơtơm,to begin
pơtơm hnơm,the beginning 
pơtỡp,"to teach, train, practice "
pơtrỗ,to put on someone else for them 
pơtruh,"to go tell, to inform"
pơtuch,"to get one attention by calling, to tell dogs to bite prey "
pơtuơh,to persuade usually with bad intent 
pơtŭch,same as pơtuch but the distance between caller and listener is less
pơư,to praise 
pơư pơang,"to praise, tell about something important far and wide"
pơwao,to think through and understand by oneself
pơwat,only enough to eat for this meal 
pơwer ,to speak to a friend so that someone else will not understand
pơwir,to cause self to change into an animal or vice versa
pơyan,season
pơyoch,to make someone commit a sin
pơyô,"sweetheart, lover"
pơyơh,to put on
"pơyơh, pơma pơyơh",of young people to speak a special secret language so older people won't understand
pơyỡr,to give a portion of
pỡk,"to fall down from standing position, fall over"
pỡn,to wrap around
pỡn,to dare 
pỡng,"to hammer, pound"
pỡr,"to fly, restricted to a mythical snake only"
pỡr,description of a dish or glass breaking
pra,porch 
tơh pra,name of a variety of very long beans
prach,to splash on water noise and appearance of water splashing out
prah,to shoot
prai,stringy substance inside fruit; thread tassels
praih,"to be sober (after being drunk), to be well after being sick, to be talkative and friendly"
pran,strong
prao,dragon
prat,the stringy substance in stringbeans
pră,to abandon a person
pră,to 'sacrifice' to a departed ancestor 
prăl,to salt food 
prăng,"clear sky, no rain "
prăt,all (day or night)
prăt măng,all night long
preh,to swing with arms to hit 
prek,loud voice of someone angry at another 
prĕl,ice 
prĕl,to knock down fruit 
prĕnh,of hair to be naturally curly 
prêk,like but with voice 
prễ,to dare one to do to leak 
prit,banana
pro,eggplant
proh,to pile up to 
proi,let drop from hand as in feeding chickens
prok,squirrel 
prôi,to sprinkle
prơh,garden in forest not near home
prơng,loft
prơu prơu,the noise of pounding rice 
prỡ prỡ,to describe blood running out of leg or water from a container 
prỡng,to cut bangs
"pru,  'mi pru",heavy rain 
prung,to cook in bamboo tube 
prŭm,noise of something large falling
prŭng,to be funny looking acting 
puăl,white squash-like vegetable 
puăn,four
puăt,to cut
minh puăt,one half
puh,to drive out
puh,to slip fall into a hole
puih,"nothing remaining, nothing"
"puih, pơyan",dry season 
put ,to be to fooled believe a lie 
pŭ,to carry on back
pŭ-pe,type of wild flower used to make thread hard 
pŭn ,"lucky, fortunate"
pŭng,noise of beating on drum or of rain
pŭng-păng,the noise of something falling from a height
"pưl, kỡl pưl",bald
pyip-piup,"spongy, springy"
ra,to collect money for community 
ra,to increase in intensity more clearly 
ra,to beat the drum 
Rade,Raday
rah,to do two things at the same time 
rah-rơp,"to live here and there, have no permanent home"
rai,the more... the more
rai,to do first 
ih rai năm kơ ba,you go first and I'll be along after 
rai,to do two things at the same time
raih,"to change money; to cut open, operate surgically "
rak,to be nearly healed
rak,dried as meat
rang,"to shine, be shiny"
rang,fever caused by fear 
rang,to pay for by working
ră roi,"to tell widely, broadcast "
răk,"to store keep for future, keep, obey customs and laws"
răm,"to be destroyed, perish, become of no value"
bơngai răm-'băm,a poor destitute person 
răng,to indicate a dead tree 
răng,to flee from coming disaster 
răp,to ambush lie in wait for 
răt,to buy
re,"sound, noise "
reh,twigs
reh,to strum stringed instrument 
reh ,cheap
"reh, johngỡm reh reh ",of heart to feel fearful
rei,to sow seed
reng,"to strive, labor at"
reng,rafter
reo,small back basket 
ret ,"to cut by knife against and rotating object, to saw with knife"
rĕch,small bird that eats rice
rĕn,to bite hard and pull flesh off
rĕng,row of houses side by side
rĕng,to sneak up on spy on; be careful 
rim,"each, every"
ro,to flow
roch,to take out inner organs of animals 
roi ,"to tell about, tell story"
rok,to read
rok,to follow
rok trong,"to follow the road, go by road"
rong,to raise
rŏ,beautiful
"rŏ, rŏ năng",probably
rŏl,to grind round and round
rŏng,"behind, in back of"
rôih,elephant
rông,village communal house 
rôp,"to catch, grab on, to capture"
rơ,bushhook
rơba,meat that is chopped and to make tender
rơbeh,that which is left over
"rơbŏu, rơbâu",thousand
robui,very tired from hard work
rơbưn,wire
rơđê,to describe a pretty girl with pretty clothes 
hơbĕn rơđê,flared skirt 
rơgah,to be sore from working 
rơgoh,clean 
rơgong,fence around rice field made of poles
rơgôn,"description of a large load, pile"
rơgôn-rơgan-man,description of many large piles 
rơh,root 
rơhau,"to be talkative, friendly, hospitable, interested in"
rơhiĕo,kidneys
rơhơi,"loose, wide"
rơhŭ,to have the right amount of water when cooking or cooked
rơih,to choose 
rơka,"a wound, bruise, scar"
rơkah,to be left over in eating also the idea of having eaten more than enough
rơkah-rơkai,intensive form 
rơkuĭk-rơkuăk,of very muddy water a mixture of water with something else well dissolved
rơmă,fat
romĕnh,to sew up the end of something that has been woven
rơmo,cow
rơmỡn,very tired and weak from lack of food or sickness
rơmuăn,soft
rơneh,to be born
rơnoi,very tall as bamboo tall slender person
rơnôp,the bud of a deer horn that is used in making medicine
rơnơh,a small house built in the fields
ronŭng,eel
rơng,forest
rơnga,a black seed used for seasoning
Rơngao,"Rengao, the Rengao people"
rơngei,to be free from slavery
rơngĕnh,crisp and delicious
rơngŏu,a small black seed used for seasoning
rơngơp,"cool, refreshing"
rơngot,"to miss, be lonesome for"
rơnguỡ,"to miss, be lonesome for"
rơnhong,"tall rice, corn"
rơnhông,of fog to be heavy 
rơpăng ,bitter squash
rơpiĕt,tongue
rơră,to be very sharp and painful e.g. grass that cuts skin
rơrăk,to speak fluently and quickly at the same time to slip quickly
rơreh,to shake from fear
rơrĭk,"to want, have strong desire"
rơrĭnh,to shake from fear
rơrỡk,to read or speak fast and fluently
rơseh,to sharpen a blade with an alternating motion first one side then the other
rơtah,water leech
rơtuh-rơtăl,"innumerable, hundreds of thousands"
rơuơ,to plow
rơwĕt,famine 
rơwing,tall as bamboo or top of the bamboo
rơwơn,plenty of time or space
rơwỡng,up in the air high near clouds
rơwưh,time
rơya,ginger 
rỡ,to heat in order to boil
rỡm,"garbage, weeds"
rỡng,to speak for something beforehand
rỡp,the feel of fish in hand when caught
ruh,"of leaves, flowers to fall "
"ruh, 'ba ruh","rice that grows from grains that have fallen on the ground, its own fall very easily"
rung-reng,the Têt tree 
ruỡ,to tighten as in tying or as python does 
rŭng,epidemic with many deaths
sa,to eat 
sa mơh,to eath rice 
sah ,"white, clean, no smell "
sal ,to sprinkle scatter 
sap ,tasteless
saw,to be wide cover large area
săk,bag 
săng ,knife
săng-si,to designate a big person on one knee wrestling with a child
săr,unplowed field 
săt ,of meat or fish to be fresh 
săt ,to knit
"săt, ưh kơ băt săt ",not know anything about at all 
se ,vehicle
se-le,to look over completely
se-le sônh-lônh,intensive of above form
seh,on the outer side of
seh,to cut grass close to ground
sem,"bird, animals in general "
sem păr,bird
sen,to be unhusked
sĕch,"flesh, lean meat"
sĕch,to turn pot around so it is heated by fire
sĕm,with
sĕr,"a plate, flat dish"
sêng,large drying basket 
si,louse 
"si-wi, 'long si-wi",a machine used to roll up thread
sih,"to plug a gap, put up a barrier "
sih-suh,feeling of falling down when one is asleep or feverish
sik,wine
sim,a domesticated duck larger than the more common duck
sing-sơng,walking stilts 
sip,target  
"sip, 'nhĕt sip",a type of grass or weed
sir,to dig
sir, to be completely covered hidden
sĭn,"to be cooked, done in reference to food "
sĭn,to move over to make space for someone else 
sĭnh-ngĭnh,angry growl or noise of an animal or person
sĭr,"to be completely covered, hidden "
sĭt,to come true be true 
sĭt,to sew
so,old (inanimate things) 
"so, kŏ so",wild dog wolf 
"so, si so",dog flea
so,to brush to make clean as in brushing teeth 
soh,to light a fire 
soh,shoo 
soi,"commune with the spirits, sacrifice "
soi,a long time 
sok,to pound corn or vegetables with mortar and pestle
sol,"to try to heal a person who has been sorcerized by taking out nail, worm from body"
sol ,to hunt fish by use of torch 
song ,"to divide up and give, distribute"
"song, gŏ song ","metal pot, kettle, pan"
"sop, sŏk sop ",body hair 
sot ,"to live long, longevity "
sŏ,"to dip water, get water, to dish out rice, serve rice"
sŏk,to contain much as can or pot
sŏk,"hair, feathers"
"sŏng, sŏng",eat rice
"sŏu, sâu",grandchild (also has wider meaning outside family)
sŏu-se,offspring
sô,to love (man-woman)
sôch,of an ant or bee to sting
sôi,type of fish trap like pam 
sôk,mole (animal)
sông,to burn
sơ'bei,"Chinese cabbage, pechay"
sơ'beng,crowbar
sơ'blŏk,unconscious
sơ'bŏng,soap
sơdang,shrimp
Sơdang,Sedang
sơdol,appearance of funny-looking teeth
sodrêu,badly-shaped teeth
sơdring,a string of fish 
sơda ,"handspan, to divine by handspans"
sơđah,to crack
sơđang,festival to abandon grave
sơđong,a trap that chokes animals by string 
sơđỡng,to depend upon peaceful
sơgỡr,drum 
sơk,to pull up shirt to keep from getting wet
sơkat,"to speak with magical power, to speak and have something magical happen "
sơkă,a small backbasket
sơkă,rough-surfaced
sơkăr,to have something in one's eyes
sơke,wild boar
sơker,to shake with fear 
sơkĕnh,catfish 
sơkĕnh,black 
sơkok,mat 
sơkỡt,"to be engaged, betrothed "
sơkŭng,bill of a bird
sơkŭng,lips
sơkŭp,to be upside down 
sơl,to put under to make higher jack up 
sơlah,to part different ways 
trong sơlah,"intersection of paths, roads "
sơlak,a type of flat bean
sơlam,"in between, in the middle "
pơm 'long sơlam,be a mediator
sơlă,to understand
bơngai ưh kơ sơlă,a person who doesn't understand 
sơlăt,lettuce
sơleng,"to be bewildered, amazed, not understand about at all "
sơlĕp,"to be dark, not able to see through"
sơliơi,to designate funny appearance of someone eating betel nut; to describe someone who says or does whatever he likes
solĭp,to describe thick grass dark night when one can't see at all 
sơlong,headdress
sơlôk,to be piled high 
sơlôk-sơlak,a large pile
sơlỗ,a magic medicine that blinds the eyes of others for a while
soluễ,evil-looking face
sơluễ-sơluônh-mônh,intensive form of sơluễ
solŭk,to be upside down
solŭl,"to be full of weeds, messy looking"
sơlŭng,hole in ground
sơlŭng dak ,a well
sơmaih,the mouth of the pam fish trap
somă,but
somĕch,mosquito
somôch,the stinger of an ant bee 
sơnar ,"baby birds, also used for small children"
sơnăl,chipmunk-like animal
sơnăm,year
sơnĕnh,teeth
sơnêp,contentment
sơnoh,to pay to spirits what has been promised or to actually buy something you say you will
sơnong,"that which is passed out, rewarded"
sơnoy,of pots to be lying on their side
sơnôi,to describe car that fallen off road
sơ'nỡr,to wake up 
sơng ,"to go greet, welcome, receive"
sơngah,to deny
sơngiĕo,"cold water, food"
sơnglŏng,star
sơnguĕt,"whip, switch"
sơ'ngĭu,very sad and angry won't answer people
sơ'ngon,to be sad
sơ'nguer,to designate a child lying down sick unable to get up
sơ'nguir,to have fallen down or be sick and not be able to rise
sơ'nhoi,"to be sad, crestfallen"
sơpong,to be parallel 
sơpuăt,an edible rattan shoot
sơrông,the leap of a tiger or other animal
sơsek,to be itchy
sơsôt,to hop all over the place frolic; to rub massage cool
sơsrĕo,cool
sơtôk,type of wine jar which is the most expensive and has a spirit associated with it
sơuh,to breathe out 
sơwol,to designate long pointed nose
sỡ,distant past (from six months to a year in the past back to any time more distant)
sỡk,to dry clothes
"sỡk-lỡk, pă sỡk-lỡk","to have no worries, happy-go-lucky"
sỡl,"soft, rubber-like substance in bamboo"
sỡn,"to persevere, not give in"
sraih,cleansing ceremony to get rid of bad elements from living persons taking care of one who just died 
sraih bơmrôm,type of skin pigment coloration
srang,"to throw spear, pole"
srao,to cook together 
sră ,crossbow
srĕng,dry
srĕp,to be hidden
srê,"palm-shaped, spoke-shaped as rays of sun at dawn"
sring,to pierce fish and put on string 
srĭ,"solder, aluminum"
sro,to wave hand; of plant to climb up
srok,to pour grains into small opening
srok,fish trap
srŏk,"type of louse, fleas that lives in clothes"
srŏng,sharpened sticks planted in ground as trap
srôih,early in the morning
srơu,to fall over backwards quickly
srỡng,to be noisy 
sruh,"to fall short of mark in shooting, to fall below"
su,of small animals to give birth
suai,to be drunk
suang,to dance
suat,describes young man with pretty clothes
suăn,"to climb slope, mountain; of the sun to rise in the sky"
"sueh, chă sueh",to question
suek,"very black, dirty black"
"sueng, 'bŏu sueng","describes nice smell of medicine, fish frying"
suĕng,"pointed nose, pencil lead"
suĕnh-suĕnh,dizzy
sum,rice granary
sung,axe 
sut,to wipe 
sut,bee 
"sŭk, ưh kơ sŭk tep",not be able to sleep sit down 
sŭng,down there
sữ,"to put, place, give, of parents to pass on things to their children"
tach,to whip 
tah,to put inside to put candy in a jar 
tah-tĭn,to throw up in the air continually as a ball
taih,of lightning to strike
tak,spear
tam,used in a question asking if something has happened yet
tang ,"to take the place of, do for "
lôch tang,to die in the place of 
tang ,"to stop, prevent by going in between or in front of"
tang-dŏ,chair 
tang-wang,"circle, cycle "
xe tang-wang,bicycle
tang pơpiang,to describe unruly hair
tang-al,a type of caterpillar 
tanh ,to weave 
tap ,to slap with hand
tar ,crosspiece of axe
tat,"to be accurate, true"
tă,"to salt, pepper"
tă,"all, completely"
tăl,layers
tăm,"moreover, even so the more "
tăng,bitter 
tăng ,pipe
tăng kei,a tick (insect)
tăng pơler,flounder
"tăp, tăp dăr","all around, encircling"
tăr,to be productive in thinking; to make a fence or wall of bamboo
tăr bang,a type of mat
tăr-wăr,to shake from fear 
teh,"ground, dirt, earth"
teh,to hit with a small stick
teh-tŏng,one-rope swing 
tel,one bird that builds ingenious nest
"tel, sŏk tel",matted hair 
teng,to hit with the knuckle one time
teng-gŭr,the sound of the roar of the elephant
teng-neng,bell 
teng-net ,type of water snail with long pointed shell
teng-nơneng,noise of something hard like metal falling
teng-wĕ,"crooked as mouth, tree, weaving"
teng,"close, shut "
teo ,easily bendable wood 
tep ,"to close eyes, sleep"
"tep-lar, 'bih tep lar",a very small snake that is extremely poisonous
tĕng-nĕng,a tree that has very poisonous sap 
tĕnh,"fast, swift, quickly "
tĕp-tĕp,to blink  
tê,of a horse to trot
tê-lê,"Oh, shame on you"
"tha, mă tha",even though 
tha,word used to tell oxen to turn to the right 
thar,"to go at once, do at once "
theng,trigger of bow or gun 
thep,to mend metal 
thĕn,"to command, order"
thĕng,to be quiet t
thi-thu,to fan fire (probably the noise of the fanning or blowing on fire)
thim,to add to
thoi,"like, as"
"thong, đak thong",stream
"thŏu, thâu",probably
thôi,to be finished stop thong to go somewhere for pleasure
thỡr,many flat
thỡr-thăr-măr,many much
thỡ-thă-thỡ-thăr-măr,many many things
thu,to be defeated
thua,a top
thuk,to memorize 
thuơ,to be defeated
thŭ,magical word used to make things happen
thŭng,"valley, valley-shaped"
thŭng-thong,rough bumpy
thŭt-thŭt,many people coming in one after another 
ti ,arm
ti ,up there
tih,big large
tih-tap,very large
tih pang,no profit or value in 
til,classifier for parts of the day 
til pơgê,morning
"tĭ, năr tĭ",fourth day after today 
tĭk,to stop or be stopped at a place before destination 
tĭl ,to think over realize
tĭng-nĭng,a many-stringed musical instrument
to,over there
toch,to stretch oneself
toh,breast
toh,to pull out
toi,a sickness that kills animals 
toi-loi,chain necklace
tol,blind
tom,"to be on time, in time"
tong,"to soak in water, put into water"
tong,"classifier for jars, guns, automobiles"
"tong, năr tong",fifth day after today 
top,"to put tail between legs, to hunch up "
tor,the length of objects as opposed to their width i.e. the measurement of the length
tŏ,the most general classifier for things (usually not used with the number one)
tŏ,hot
tŏ-tĕnh,emphatic form of tŏ
tŏ,size
tŏ aĭ,the same size
tŏ kră,"the size, age of an adult"
tŏ sĕt,"a little, few "
tŏk,"to go up, ascend"
tŏk,box
tŏk-bŏk,in the middle
tŏl,(bound morpheme that occurs in tŏl-bơbŏl)
tŏl-bơbŏl,of something small to fall and roll 
tŏng ,"to scoop out, dip out "
tŏt ,to pierce hole through
tôch,to finish 
tôl,squash
tôm,"enough, all, complete"
tôm-tĕch,intensive form of tôm
tôm,trap like pam but with bait inside
tôn,to hit with a large stick
"tông, hnam tông",lookout tower
tơ,"locative to, at"
tơan,to boast 
tơbang,to show clearly to to look into the distance
tơbang,to be muddy and smelly
tơbăr,sticky
tơbĭt,to push against each other with shoulder
tơbla,chafed as when riding a horse
tơblah,"to fight battle, have war"
tơblang,to translate interpret explain
tơblay,rounded sides like a flower vase
tơblĕl,to call something someone by wrong name
tơblĕo,to designate a rounded pustule-type elevation on skin
tơblĕnh,"tragedy, accident"
tơblong,to make trouble by making false accusation
tơblŏt,short and homely
tơblỡ,"to turn over, to translate"
tơblỡr,"slippery, smooth-surfaced"
tơblŭt,"to fall, sink as ground, hole in chair"
tơbŏk,"middle, zenith"
tơbôl,"to make friends, be friends with"
tơbỡr-tơbăr,of rice to be piled up (husked or unhusked rice)
tơbrăm,sore muscles from working
tơbronh,the color patterns of a fox or similar animals
tơbrônh,the color patterns of a tiger
tơbrônh-tơbranh-manh,to describe the sight of many tigers focusing on their color
tobŭl,to roll up in a bunch
tơbŭl-tơbônh-mônh,of many people to fall and roll up as a ball
"tơ'bang, khei tơ bang",first quarter moon 
tơ'băk,"to hang on, hook over line"
tơ'băng,bamboo shoots  
tơ'bet,to stab each other 
tơ'bêl,a large load
tơ'bĭch,"to make to lay down, lay someone down"
tơ'bla,"fork in tree, forked stick, small branches"
to'blăk,to hang on a hook
tơ'boch,a type of eruption that is very itchy
tơ'bong,snout 
"tơ'bŏu, tơ'bâu",to make to look for by smelling e.g. dog after prey
tơ'bôh,to show
tơ'bỡp,to meet
tơ'buh,to have two objects with their heads facing each other
to'brê,to describe something rather large that is red
tơchĕng,to think
tơchoh,"of birds to fight with, peck each other"
tơchŭm,to kiss each other
tơda đak,wild duck
tơdai,"to hit, slug"
tơdăm,young unmarried man
tơdăng,"to be hard, stiff, not pliable"
tơdăng,to live in someone else's house temporarily
"todăr, pơma tơdăr",to talk softly 
tơde ,a type of bird
tơdeh,to wait a long time
tơdĭu,storm
tơdŏ,"to pound, to knock"
tơdŏl,to swing
tơdŏng,"to rescue from trouble, help"
tơdŏng,warp
tơdra,mark musical note
tơdra,to recognize
tơdrah,an area with thick clumps of pơle bamboo
tơdrăng,"common, belonging to all"
tơmam tơdrăng,things held in common
tơdre,"twilight, time of sun going down"
tơdrong,"thing (abstract), subject, story, matter"
tơdrŏ,to shake heavily move back and forth
the tơdrŏ,earthquake
"tơdrŏu, tơdrâu",six
tơdrôp,"market basket, cage"
tơdruh,to chase each other
tơduă,"only those of one group, that group but no outsiders"
toduĕr,"to go around very fast as propeller, wheel"
tơdut,the shape of a group of bees in the air
tơdŭk,(bound morpheme that occurs in tơdŭk-tơdăk)
tơdŭk-tơdăk,action and noise of fruit or similar things hitting the ground
todŭk-tơdăk-măk,many roads branching off
tơđom,"to hold fast, not fall out, stick to, be caught in"
tơđon,to make sacrifice
tơgar,"to argue over, compete to get something"
tơgăk,bushhook
"tơgep, jang tơgep",to do things two at once
"tơgĕch, pơm tơgĕch",to do something to get it over with
tơgiĕp,horn of cow or carabao used to make sound
tơgĭng,to keep on carrying in hand for a long time
tơgiot,of a rabbit to stick up its ears
tơglăng,"to roll on ground as horse, tiger "
tơgleh,to pull fingers (contest) 
tơglĕch,dislocated joint 
tơgloh,to come loose as a blade from its handle 
tơglong-gloh,to win by a mile 
tơglỡm,two people wrestling trying to throw each other down 
tơglỡng-glơĭ (cheng-klŏng),bamboo or xylophone 
tơglŭk-glĕk,any joint in body 
tơgok,to split up 
tơgowi,small bird that sings at dawn
tơgở,to be broken
tơgỡng,to describe a stick
tơgrĭn,to be tied up well
tơgrŏl,"of a ball, log, rock to roll or be rolled"
tơguăt,"to tie a knot; to keep in the mind, remember and follow"
tơgŭm,to help
tơhak,of tree to be split
tơhek,to be torn
tơhiap,to curse each other
tơhiĕng,the string of the crossbow
tơhiong,to lose on purpose
tơhiŭl,of a rope to be
tơhlăk,"to be caught hooked on something, be caught by the enemy"
tơhleh,of a seam to come apart
tơhlĕl,"only one, very little"
tơhli,to scare
"tơhlŏu, tơhlâu",to point with finger
tơhmă,to practice
"tơhngơi, hiĕk tơhngơi",to designate long period of laughter
tơhoch,to throw something into a stream so that it will be carried away 
tơhôih,"to be out of breath, breathe hard, sigh"
tơhrông,"leap upon, pounce upon"
tơhrŭn-dŭn,messy clothes
tơhueh,to be broken
tơhuŏng,to drop something on purpose
tơiung,"to raise someone up, make to stand (animate things)"
tơiung kơting,to make retribution for killing people
tơjĕr,to cut into small slices
tơjêr,to cut into large flat pieces
tơjrang,tree hut 
tơjrao,to be a little ripe
tơjră,to brace
tơju,a hut used when hunting
tơjur,"to make to go down, pull down, put down, lower"
tơkan,to go quickly to see or help someone
tơket,to choke each other
tơkĕch,"to yell, scream"
tơkhiĕn,a ring
tơklah,"to part, split into groups"
tơklă,"to bump into each other, to hit the target "
tơko ,thread used in weaving to pull up upper layer
tơkoh,"to fight each other with swords, knives"
tơkong,bone of lower leg
"tơkong, plei tơkong",type of wild mango
"tơkơi, đak tơkơi",waterfalls
tơkỡl,to fall down head over heels
tơkul,to have white dirty spots
tơkul-tơkal-mal,intensive form of tơkul
tơl,"to answer, to promise the spirits a sacrifice"
tơlak,twine made from bamboo 
tơlang,"to arbitrate, judge, have trial; to interpret explain"
tơlang,to come untied 
tơlang,skeleton 
tơlăk,to place on shoulder e.g. a blanket hung on shoulder when no longer for warmth when walking
tơlăng,to look at each other
tơleh,woodpecker 
tơlei ,rope string cord 
tơlĕch,"to let out, take out "
tơlŏ,"stick used to beat gongs, drums "
tơlỡ,"to push, shove"
tơluăn,naked-looking
tơlueng,(bound morpheme that occurs in tơlueng-tơluônh-mônh)
tơlueng-tơluônh-mônh,to describe someone with eyes half shut as when drunk or dead
toluĕnh,of a small child to sleep curled up
tơluh,to go quickly
tơluih,to make to wear down
tơluing,to describe a blind person's eyes
tơluỡng,to describe the way a cross-eyed person or person with eye defect looks
to'lĕnh,"to beat, hurt"
tơm,trunk of tree; classifier for trees
tơm,"main, principal; owner "
măng tơm,the main door
tơmam,"thing, item, object"
tơmang,to look far away 
tơmăn,plains
tơmĭl,to be angry at each other
tơmo,"stone, rock"
tơmoi,guest stranger foreigner outsider
tơmŏk,to be successful in hunting
"tơmông, iĕr tơmông",rooster
tơmỡt,to make to enter
tơ'moih,to lure bait someone
tơ'mok,to sit on haunches
tơ'mỡng,"stem that makes new leaf, flower"
tơ'mret,"to do just a little, move just a little"
tơnang,betel
tơnang,door made of bamboo
tơnang,area with rocks unfit for field
tơnanh,woof
tơnăr,woven bamboo wall
tơneh,papaya
tơneh,cigarette lighter
tơnei,"father-in-law, mother-in-law"
tơnen,"to be conscientious, dependable"
tơno,"male animals, non-producing plants"
tơnŏ,to be warm
ao tơnŏ,"coat, warm clothing"
tơnôn,"stick used to hit with, club"
tơnơm,"classifier for plants, trees"
tơnuh,hearth
tơnuh ŭnh,ashes
tơnung,"stick used to carry something on shoulder, oxcart tongue"
tơnŭng-long tơnŭng,type of tree with large useable bark
tơ'nỡng,to catch drips of water 
tơng,"to think, guess "
tơng gơrơng,to completely finish
tơngah,"in a few days, soon "
tơngiĕt,cold 
"tơnglang, đak tơnglang",bamboo water system of Bahnar
tơnglăp,small box 
tơnglỡp,lid cover 
tơngưih,"to moan, groan, feel nauseated"
tơ'ngam-sơnĕnh tơ'ngam,molars
tơ'ngĕl,of person to have small head 
tơ'ngiơh,fingernail 
tơ'ngla,"owner, landlord; self; honorific used with acquaintances for 'you' "
tơ'ngot,of trees to rub against each other 
tơ'ngot,to hit by mistake because tall
tơ'ngơr,roof of mouth 
tơ'ngum,to cook in the coals with leaves around 
tơ'nguỡ,a tune melody 
tơnh,fussy in choosing 
tơpa,type of turtle that lives in water
tơpai,rabbit
tơpang,"(bound morpheme that occurs in towpang ti, tơpang jỡng)"
tơpang ti,hand
tơpang jỡng,foot
tơpă,"truly, really"
tơpăt,"straight, honest, truthful"
tơphĕ,to break off as fruit from tree of its own accord 
tơpi ,to fan each other
tơpiêt,facial expression indicating unbelief
tơplễ,to designate person with big stomach
tơplih,to change
tơplŏ,"of paint, skin to peel, flake"
tơplŏng,to jump
tơplôch,to straighten out wire; to let fish go from hand accidentally
tơpôl,"crowd, flock, herd"
topỗ,to become good friends
tơpơh,seven
tơpỡk,to make to fall over
tơprah,to splash; to shoot each other
tơprŭp,to make bilabial trill--spit showing unbelief
tơpu,"bird nest, nest, den"
tơpung,"flour, dough"
tơpŭ,to bear a child
